delegacion,ano,detecciones,fecha
     Baja California,2018,581767,2018-01-01
     Baja California Sur,2018,106368,2018-01-01
     Campeche,2018,72631,2018-01-01
     Coahuila ,2018,578930,2018-01-01
     Colima,2018,110638,2018-01-01
     Chiapas,2018,195738,2018-01-01
     Chihuahua,2018,388451,2018-01-01
     D.F. Norte,2018,1065473,2018-01-01
     D.F. Sur,2018,1197903,2018-01-01
     Durango,2018,247689,2018-01-01
     Guanajuato,2018,327972,2018-01-01
     Guerrero,2018,130607,2018-01-01
     Hidalgo,2018,106400,2018-01-01
     Jalisco,2018,1103796,2018-01-01
     México Oriente,2018,867262,2018-01-01
     México Poniente,2018,557460,2018-01-01
     Michoacán,2018,304821,2018-01-01
     Morelos,2018,153693,2018-01-01
     Nayarit,2018,105228,2018-01-01
     Nuevo León,2018,1500597,2018-01-01
     Oaxaca,2018,126014,2018-01-01
     Puebla,2018,422246,2018-01-01
     Querétaro,2018,173383,2018-01-01
     Quintana Roo,2018,184179,2018-01-01
     San Luis Potosí,2018,321246,2018-01-01
     Sinaloa,2018,404599,2018-01-01
     Sonora,2018,388156,2018-01-01
     Tabasco,2018,140169,2018-01-01
     Tamaulipas,2018,501576,2018-01-01
     Tlaxcala,2018,99386,2018-01-01
     Veracruz Norte,2018,525493,2018-01-01
     Veracruz Sur,2018,180296,2018-01-01
     Yucatán,2018,217296,2018-01-01
     Zacatecas,2018,74776,2018-01-01
     Aguascalientes,2019,161409,2019-01-01
     Baja California,2019,496810,2019-01-01
     Baja California Sur,2019,88486,2019-01-01
     Campeche,2019,67295,2019-01-01
     Coahuila ,2019,558629,2019-01-01
     Colima,2019,97804,2019-01-01
     Chiapas,2019,163974,2019-01-01
     Chihuahua,2019,362803,2019-01-01
     D.F. Norte,2019,1019181,2019-01-01
     D.F. Sur,2019,969767,2019-01-01
